id,title,media,domain,source,collector_region,publisher_region_candidate,original_url
6247,Land Minister Pledges Faster Supply of Quality Housing Through Expanded Modular Construction - news.sbs.co.kr,news.sbs.co.kr,news.google.com,해외 모듈러 RSS,rss_overseas_pipeline,domestic,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1FMHFLaEdaVWpSa24zLXFsUFRQR3ctZ3o4UE5uVS1PSWVGS1ItOEJFS2Vld2xqT0Y3SUlPSFZxWVNfZzc1SGpDd1Y4ZmN4X2tkVGowS0N1MHU1dnp5NXc5bGVQLU9qUQ?query=masked
211,"Minister Yoon-Duk Kim Visits Modular Housing Factory: ""30% Faster Construction for Rapid Supply"" - 아시아경제",아시아경제,news.google.com,해외 모듈러 RSS,rss_overseas_pipeline,domestic,https://news.google.com/rss/articles/CBMiZEFVX3lxTE5PekdPZ0loZTZ2eU5FZWE4ZlBDT0xwZ283RUdwVlZqdy00N2FDU2hUSk5jb0llUC1UR2lUNHNmLUJFMGZvZkFfQ05yVkdSWWZDeGJfWnE3Sm1iSlRMamc5V0dMeVk?query=masked
285,KCC and Gonggan Production Studio to Develop Next-Generation Modular Housing Models - 아시아경제,아시아경제,news.google.com,해외 모듈러 RSS,rss_overseas_pipeline,domestic,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9zam83ckJiRkNpQlN3b0JNNElQRzNBcExkcEdDUFVwR3hNa3d1ZmJLNkw3QVJhdXY3dm9uMU1vbXMxa0xMOXljOS14UW9zYjRGeFNuRjZ2a2lNWU9YRjc3cDBrSFc?query=masked
326,Samsung and LG Join Modular Housing Boom... 'Public Orders' Key to Preventing Move-In Cliff [Real Estate AtoZ] - 아시아경제,아시아경제,news.google.com,해외 모듈러 RSS,rss_overseas_pipeline,domestic,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9aRHc4NVpIYzNNa1FQdWdFR1ZVVFNEalVRZFlPQW1xckF3TGJtV2IxUXRJM095NXFtc0NvalpVemNENkpLalBENVJKRGViei03Q0VnNjUyMUZpNzN4dHJPVWtBRjE?query=masked
359,[Photo] LG Modular Home Maximizes Space; LG Electronics' Modular Housing - 매일경제,매일경제,news.google.com,해외 모듈러 RSS,rss_overseas_pipeline,domestic,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBGZndyRG9mZ3BvdFgzeDdHakJwM1hYTUVMZkc2WVFlU0hiMFVVRlRFMjB0NkR4VGdHM1RDNWhyQzZEenhCZUVyam5lX0Nta3UtcktR?query=masked
